# Threat Intelligence Export Feed
# Dataset Version: 1.0
# Generated: 2025-03-10
#
# Column Definitions:
# record_id           -> Unique record identifier for the threat event
# src_ip              -> Source IP address involved in the activity
# dst_ip              -> Destination IP observed in telemetry
# indicator_value     -> Main indicator (hash/domain/url/ip)
# indicator_type      -> Type of IOC (md5, sha256, domain, url, ip)
# first_seen_epoch    -> First observed timestamp in epoch format
# last_seen_epoch     -> Last observed timestamp in epoch format (may be empty if still active)
# severity_score      -> Threat severity score (0-100)
# confidence_score    -> Confidence in detection (0-100)
# campaign            -> Associated malware campaign or threat actor
# context_details     -> Complex structured metadata (JSON-like string with host/user/process info)
# tags                -> Pipe-separated classification tags
# analyst_note        -> Analyst investigation note
# reviewed            -> Whether the IOC has been reviewed (true/false)
record_id,src_ip,dst_ip,indicator_value,indicator_type,first_seen_epoch,last_seen_epoch,severity_score,confidence_score,campaign,context_details,tags,analyst_note,reviewed
R00013,68.71.141.221,10.0.13.134,782902a32e6ab4ba54ffaf9cb9e0247c,md5,1705144797,1706511947,62,51,APT29,"{host:ENG-LT02,user:admin,process:rundll32.exe,geo:CN,asn:AS58696}",malware|recon|beacon|email,Requires further investigation,true
R00014,235.29.238.173,10.0.4.150,165.148.97.236,ip,1704398507,,51,98,LockBit,"{host:ENG-LT02,user:svc_backup,process:chrome.exe,geo:CN,asn:AS35780}",phishing|email|malware,Requires further investigation,false
R00015,233.151.129.14,10.0.2.96,data-node.xyz,domain,1705113324,,74,81,APT29,"{host:OPS-SRV03,user:admin,process:outlook.exe,geo:KP,asn:AS35525}",phishing|ransomware|email|infostealer,Confirmed malicious beacon,true
R00016,220.15.245.99,10.0.0.71,e3b8da5a381e26074b32e8ec94152ed2ddda60e167b586b262ad002a36aab6d8,sha256,1705934747,1707005875,83,55,Mirai,"{host:DEV-LT07,user:admin,process:rundll32.exe,geo:DE,asn:AS8077}",malware|recon,Confirmed malicious beacon,true
R00017,35.224.32.164,10.0.3.178,auth-panel.net,domain,1704196346,1704251408,65,79,BlackCat,"{host:FIN-SRV02,user:jdoe,process:outlook.exe,geo:DE,asn:AS41187}",beacon|lateral|apt,Confirmed malicious beacon,true
R00018,180.14.85.187,10.0.3.128,data-node.org,domain,1705391008,1707095012,71,54,QakBot,"{host:ENG-LT02,user:guest,process:cmd.exe,geo:RU,asn:AS35299}",phishing|ransomware,Suspicious download observed,true
R00019,146.183.173.137,10.0.17.15,138ad282d4efa6aab04f96464c625cbb65bfcb7f46cbafbdb36428677c3fbd3d,sha256,1704783833,1704861966,71,60,Emotet,"{host:FIN-SRV02,user:admin,process:chrome.exe,geo:KP,asn:AS32166}",ransomware|beacon|email,Suspicious download observed,false
R00020,2.166.108.150,10.0.2.129,cdn-stage.cn,domain,1705800784,1706681175,90,65,LockBit,"{host:OPS-SRV03,user:guest,process:powershell.exe,geo:DE,asn:AS7327}",c2|recon|infostealer,Automated detection alert,false
R00021,72.128.20.198,10.0.9.54,a2d5b542dc79a51653df126d2a99639d,md5,1704439475,,89,63,APT29,"{host:ENG-LT02,user:svc_backup,process:outlook.exe,geo:KP,asn:AS11444}",ransomware|phishing|apt|malware,Possible lateral movement,true
R00022,249.83.238.18,10.0.1.115,http://data-node.top/payload.bin,url,1704750406,1704823508,67,42,CobaltStrike,"{host:ENG-LT02,user:admin,process:cmd.exe,geo:IR,asn:AS57685}",download|dropper,Requires further investigation,true
R00023,143.212.148.194,10.0.8.214,secure-login.cn,domain,1706005690,1706745811,89,51,Unknown,"{host:FIN-SRV01,user:guest,process:chrome.exe,geo:NL,asn:AS44535}",phishing|c2,Suspicious download observed,true
R00024,17.188.52.248,10.0.9.251,cdn-stage.net,domain,1705813826,1707484544,47,79,QakBot,"{host:SALES-PC09,user:guest,process:wscript.exe,geo:CN,asn:AS4531}",download|malware|ransomware|infostealer,Automated detection alert,false
R00025,131.241.55.191,10.0.3.176,76.85.248.64,ip,1704918394,1705848067,41,42,BlackCat,"{host:EDGE-GW01,user:asmith,process:rundll32.exe,geo:KP,asn:AS26304}",beacon|apt,Requires further investigation,true
R00026,72.152.14.230,10.0.10.177,1f9418d3e3e11853af3163c6ecfa85ea75dbe0008d2eeac51fb7c14bda11a26e,sha256,1705449587,1706369856,97,79,Mirai,"{host:SALES-PC09,user:asmith,process:outlook.exe,geo:DE,asn:AS23789}",phishing|loader,Requires further investigation,false
R00027,143.21.133.177,10.0.0.152,backup-sync.xyz,domain,1704787521,1706646725,40,53,TrickBot,"{host:HR-PC17,user:jdoe,process:wscript.exe,geo:DE,asn:AS55139}",apt|lateral|recon|infostealer,Possible lateral movement,true
R00028,46.62.18.239,10.0.19.78,http://auth-panel.cn/drop.bin,url,1705019967,1705564762,77,95,QakBot,"{host:EDGE-GW01,user:bpatel,process:chrome.exe,geo:RU,asn:AS60556}",beacon|loader|download,Automated detection alert,true
R00029,212.18.238.183,10.0.2.42,backup-sync.cn,domain,1705966632,1706684085,93,99,RedLine,"{host:OPS-SRV03,user:mwong,process:wscript.exe,geo:IR,asn:AS20346}",ransomware|loader|apt|download,Automated detection alert,false
R00030,205.105.136.65,10.0.7.144,e19842c1a9593120aabd3312d01fc0b2ead3d35b32ccfa8bfb22bfaae95a58ef,sha256,1705694695,1706454158,91,70,CobaltStrike,"{host:SALES-PC09,user:asmith,process:outlook.exe,geo:DE,asn:AS7219}",email|loader|malware|lateral,Requires further investigation,false
R00031,170.36.116.250,10.0.10.152,update-check.cn,domain,1705587964,1706464371,81,72,QakBot,"{host:OPS-SRV03,user:bpatel,process:wscript.exe,geo:IR,asn:AS4186}",download|malware|dropper,Possible lateral movement,true
R00032,7.139.237.233,10.0.9.113,cdn-stage.cn,domain,1704972944,1705645534,64,40,Mirai,"{host:DEV-LT07,user:analyst,process:rundll32.exe,geo:IR,asn:AS18899}",dropper|malware,Automated detection alert,true
R00033,187.230.52.20,10.0.4.150,http://cdn-stage.cn/payload.bin,url,1706066822,,64,50,Emotet,"{host:HR-PC17,user:mwong,process:chrome.exe,geo:IR,asn:AS27857}",lateral|dropper|infostealer|c2,Confirmed malicious beacon,true
R00034,187.35.104.222,10.0.5.60,da1ad67f67dced9d1bfbae93fda4c83d28e645b3e24991420abf1593f6bf6123,sha256,1704067487,1704630123,51,72,Mirai,"{host:EDGE-GW01,user:analyst,process:cmd.exe,geo:IR,asn:AS40532}",infostealer|scanner,Automated detection alert,true
R00035,113.94.222.217,10.0.13.157,http://auth-panel.xyz/payload.bin,url,1706020855,1707361043,56,97,APT29,"{host:ENG-LT02,user:analyst,process:rundll32.exe,geo:RU,asn:AS7139}",recon|infostealer|loader,Possible lateral movement,false
R00036,26.45.14.224,10.0.1.103,b07ec0b0ef661d8e7cb88bb35f1a06e754dc4ce194efad8f41e6d7be0918f156,sha256,1704568359,1705518091,63,73,RedLine,"{host:FIN-SRV02,user:bpatel,process:outlook.exe,geo:KP,asn:AS36036}",lateral|malware|recon|dropper,Automated detection alert,false
R00037,43.232.211.77,10.0.15.187,http://auth-panel.xyz/stage.bin,url,1704150710,1705772178,40,40,BlackCat,"{host:FIN-SRV01,user:admin,process:outlook.exe,geo:RU,asn:AS43312}",dropper|infostealer|download,Suspicious download observed,false
R00038,65.116.20.128,10.0.11.247,http://backup-sync.ru/stage.bin,url,1705865289,1707548173,69,73,RedLine,"{host:FIN-SRV01,user:guest,process:outlook.exe,geo:KP,asn:AS37181}",recon|phishing|beacon|malware,Confirmed malicious beacon,true
R00039,90.95.187.251,10.0.8.151,10.186.201.151,ip,1705717421,,61,77,QakBot,"{host:DEV-LT07,user:admin,process:outlook.exe,geo:IR,asn:AS64696}",beacon|phishing|download,Requires further investigation,true
R00040,121.125.242.100,10.0.11.26,021c837f2d0443f570d42ff3b321916b,md5,1705007997,1706647781,69,70,Emotet,"{host:HR-PC17,user:jdoe,process:rundll32.exe,geo:DE,asn:AS45087}",scanner|infostealer|dropper|c2,Requires further investigation,true
R00041,109.136.240.140,10.0.8.195,23a1ba2c4b9603c46dee5c2a943b16270612bf5cb7d1a4dfb149cf6f5002fe88,sha256,1704558966,1705321633,63,87,BlackCat,"{host:SALES-PC09,user:admin,process:rundll32.exe,geo:IR,asn:AS30208}",infostealer|apt|loader|phishing,Requires further investigation,false
R00042,250.218.20.129,10.0.8.95,http://data-node.top/update.bin,url,1705259338,1706098793,41,53,Unknown,"{host:OPS-SRV03,user:jdoe,process:cmd.exe,geo:RU,asn:AS35321}",download|infostealer|c2,Requires further investigation,true
R00043,213.187.88.72,10.0.10.5,322d90100b29a9dc6dc0514312a1e38b44e5c113cbb0ab005bf4c56cc620ed15,sha256,1705674974,1706207997,40,51,CobaltStrike,"{host:SALES-PC09,user:jdoe,process:chrome.exe,geo:KP,asn:AS21564}",infostealer|apt|recon|malware,Requires further investigation,true
R00044,56.98.228.101,10.0.19.118,http://data-node.net/drop.bin,url,1705781815,1707017952,68,56,APT29,"{host:EDGE-GW01,user:guest,process:rundll32.exe,geo:DE,asn:AS27881}",apt|malware|lateral,Automated detection alert,true
R00045,166.79.155.124,10.0.18.173,http://backup-sync.ru/payload.bin,url,1704807286,,55,94,RedLine,"{host:FIN-SRV01,user:asmith,process:cmd.exe,geo:IR,asn:AS11499}",dropper|ransomware|apt|beacon,Possible lateral movement,true
R00046,164.123.158.8,10.0.4.199,http://cdn-stage.xyz/payload.bin,url,1704576898,1705699378,66,88,Unknown,"{host:OPS-SRV03,user:svc_backup,process:cmd.exe,geo:RU,asn:AS3303}",malware|infostealer,Suspicious download observed,false
R00047,91.232.225.225,10.0.14.16,update-check.xyz,domain,1704666763,1705574028,99,50,LockBit,"{host:EDGE-GW01,user:mwong,process:rundll32.exe,geo:DE,asn:AS30241}",apt|c2,Automated detection alert,true
R00048,38.153.12.233,10.0.1.150,http://cdn-stage.cn/stage.bin,url,1705205185,1707070146,42,81,Unknown,"{host:HR-PC17,user:admin,process:outlook.exe,geo:CN,asn:AS34889}",ransomware|scanner,Automated detection alert,true
R00049,235.141.97.42,10.0.16.220,56.133.88.107,ip,1706018182,1707231789,79,61,TrickBot,"{host:DEV-LT07,user:asmith,process:chrome.exe,geo:NL,asn:AS10577}",apt|loader|infostealer,Automated detection alert,true
R00050,74.89.31.134,10.0.4.153,54.137.69.153,ip,1705875086,1705879895,43,63,RedLine,"{host:FIN-SRV02,user:bpatel,process:outlook.exe,geo:NL,asn:AS29210}",dropper|c2,Possible lateral movement,true
R00051,112.6.201.129,10.0.17.97,cdn-stage.ru,domain,1705412920,,46,91,Emotet,"{host:SALES-PC09,user:bpatel,process:rundll32.exe,geo:RU,asn:AS15173}",recon|beacon,Requires further investigation,true
R00052,199.60.57.143,10.0.2.231,http://secure-login.org/payload.bin,url,1704466277,1705316931,87,65,APT29,"{host:DEV-LT07,user:svc_backup,process:rundll32.exe,geo:DE,asn:AS56547}",scanner|recon|loader,Requires further investigation,false
R00053,114.11.62.222,10.0.14.243,92.230.92.87,ip,1704743369,1705712152,69,56,LockBit,"{host:DEV-LT07,user:mwong,process:cmd.exe,geo:NL,asn:AS32918}",recon|c2|infostealer,Possible lateral movement,false
R00054,35.138.41.182,10.0.2.118,106.59.65.175,ip,1705922001,1706870515,63,85,RedLine,"{host:EDGE-GW01,user:guest,process:outlook.exe,geo:DE,asn:AS38264}",email|lateral|dropper|download,Requires further investigation,false
R00055,91.171.137.186,10.0.11.139,241.185.210.99,ip,1705097919,1706635296,85,90,QakBot,"{host:ENG-LT02,user:asmith,process:outlook.exe,geo:DE,asn:AS29449}",scanner|infostealer|beacon,Possible lateral movement,true
R00056,22.82.167.253,10.0.10.102,http://update-check.org/panel.bin,url,1704368572,,70,89,TrickBot,"{host:SALES-PC09,user:bpatel,process:rundll32.exe,geo:KP,asn:AS8206}",scanner|download|apt|infostealer,Confirmed malicious beacon,false
R00057,151.177.72.170,10.0.5.31,update-check.net,domain,1704129175,1704581630,95,83,APT29,"{host:HR-PC17,user:asmith,process:chrome.exe,geo:NL,asn:AS51909}",loader|download,Suspicious download observed,false
R00058,103.216.11.33,10.0.13.226,202.106.215.163,ip,1704692126,1704805156,46,88,QakBot,"{host:EDGE-GW01,user:admin,process:wscript.exe,geo:CN,asn:AS55622}",ransomware|lateral|apt,Possible lateral movement,true
R00059,11.15.128.24,10.0.17.128,220.157.13.48,ip,1705100982,1705260068,43,82,QakBot,"{host:ENG-LT02,user:analyst,process:cmd.exe,geo:IR,asn:AS28905}",scanner|download|email,Suspicious download observed,false
R00060,104.202.151.158,10.0.18.135,36.199.181.193,ip,1705198377,1705374961,99,58,QakBot,"{host:HR-PC17,user:analyst,process:powershell.exe,geo:NL,asn:AS12403}",loader|recon,Suspicious download observed,true
R00061,244.218.143.169,10.0.10.169,2cc06d75f7f5c5dc4cad55f2d5f9c3ab517e422e0f1972d89fe94c27788499e3,sha256,1705455524,,96,86,RedLine,"{host:EDGE-GW01,user:svc_backup,process:rundll32.exe,geo:NL,asn:AS42333}",beacon|recon|infostealer,Confirmed malicious beacon,true
R00062,13.84.19.214,10.0.10.134,http://update-check.ru/payload.bin,url,1704781690,1706086488,92,72,QakBot,"{host:EDGE-GW01,user:jdoe,process:rundll32.exe,geo:NL,asn:AS32739}",malware|ransomware|dropper|email,Automated detection alert,true
R00063,214.41.193.123,10.0.13.28,eae5782808db800b008f76605178d1f1,md5,1706047189,1706541778,65,46,RedLine,"{host:SALES-PC09,user:analyst,process:cmd.exe,geo:RU,asn:AS34297}",phishing|scanner|ransomware|email,Requires further investigation,false
R00064,173.114.1.223,10.0.4.197,175.159.206.182,ip,1704617708,,41,45,LockBit,"{host:ENG-LT02,user:svc_backup,process:outlook.exe,geo:NL,asn:AS17210}",ransomware|lateral,Suspicious download observed,false
R00065,10.158.53.91,10.0.2.254,a35b02a1c7cfb223accb7b9149ed57b05353c1d05b2e2c27937c7a3bb128ed35,sha256,1705822457,1707123992,47,68,Emotet,"{host:FIN-SRV01,user:analyst,process:powershell.exe,geo:RU,asn:AS63599}",c2|infostealer|email|dropper,Suspicious download observed,true
R00066,57.130.14.188,10.0.5.126,1.74.110.78,ip,1704359083,1705707281,96,63,BlackCat,"{host:SALES-PC09,user:admin,process:chrome.exe,geo:IR,asn:AS30970}",c2|apt,Requires further investigation,true
R00067,97.47.77.30,10.0.15.71,cdn-stage.top,domain,1705759905,1705830544,86,70,Unknown,"{host:OPS-SRV03,user:guest,process:cmd.exe,geo:CN,asn:AS9521}",phishing|email|malware,Requires further investigation,true
R00068,236.97.90.179,10.0.17.17,5613e76e30d890f3eeea7eb42ed5dba1,md5,1704432692,1706257588,90,46,APT29,"{host:ENG-LT02,user:guest,process:outlook.exe,geo:IR,asn:AS11135}",apt|beacon|loader,Requires further investigation,true
R00069,7.188.110.89,10.0.12.225,245.95.81.154,ip,1704376565,1705611404,76,64,Mirai,"{host:SALES-PC09,user:admin,process:powershell.exe,geo:DE,asn:AS34050}",scanner|apt,Suspicious download observed,false
R00070,229.245.23.247,10.0.11.252,backup-sync.net,domain,1704598656,1706585561,66,89,TrickBot,"{host:DEV-LT07,user:analyst,process:chrome.exe,geo:DE,asn:AS44693}",apt|infostealer|email,Suspicious download observed,false
R00071,128.3.131.107,10.0.7.108,data-node.top,domain,1704845527,1705454329,85,79,BlackCat,"{host:ENG-LT02,user:svc_backup,process:powershell.exe,geo:DE,asn:AS16771}",ransomware|scanner|loader,Suspicious download observed,true
R00072,149.22.157.233,10.0.3.251,b91e81f6596c25a56fcff5e1b0df5150,md5,1705753237,1706544801,46,97,BlackCat,"{host:SALES-PC09,user:svc_backup,process:cmd.exe,geo:IR,asn:AS26654}",scanner|ransomware,Automated detection alert,true
R00073,252.160.66.13,10.0.18.64,update-check.net,domain,1704608695,1705870657,71,93,QakBot,"{host:OPS-SRV03,user:asmith,process:powershell.exe,geo:KP,asn:AS51097}",recon|malware|apt|dropper,Confirmed malicious beacon,true
R00074,106.188.210.29,10.0.17.38,3912ae85227e6070170a6125e44a2d33,md5,1704747167,1704899512,52,57,Emotet,"{host:OPS-SRV03,user:guest,process:rundll32.exe,geo:RU,asn:AS59371}",apt|download|dropper|lateral,Confirmed malicious beacon,false
R00075,183.149.175.135,10.0.2.229,bc5f246a09a3ed4050721a898c75adcc0a85cfb03a16d5f8f02068fabb87c943,sha256,1704775075,1705534882,74,82,LockBit,"{host:SALES-PC09,user:guest,process:powershell.exe,geo:RU,asn:AS61165}",loader|beacon,Requires further investigation,false
R00076,17.220.113.207,10.0.17.89,ebe7680ee6b70e8701fbcc49e26acd315780ec8bb9802dc92e127f85e1017893,sha256,1705736583,1705809249,50,70,QakBot,"{host:FIN-SRV01,user:asmith,process:cmd.exe,geo:NL,asn:AS27291}",malware|apt|scanner|ransomware,Automated detection alert,true
R00077,199.142.23.53,10.0.20.254,http://auth-panel.ru/stage.bin,url,1705116682,1706845486,88,69,TrickBot,"{host:ENG-LT02,user:bpatel,process:cmd.exe,geo:KP,asn:AS39034}",phishing|infostealer|scanner,Suspicious download observed,false
R00078,143.176.188.87,10.0.13.229,21.71.216.184,ip,1704884404,1706579270,54,69,BlackCat,"{host:OPS-SRV03,user:asmith,process:wscript.exe,geo:KP,asn:AS11443}",ransomware|malware|scanner|beacon,Confirmed malicious beacon,true
R00079,177.170.229.125,10.0.18.17,http://update-check.org/payload.bin,url,1705655232,1707066654,82,84,RedLine,"{host:SALES-PC09,user:guest,process:rundll32.exe,geo:CN,asn:AS12885}",loader|dropper,Automated detection alert,true
R00080,9.45.137.27,10.0.5.49,update-check.top,domain,1705993186,1706209531,42,71,BlackCat,"{host:ENG-LT02,user:guest,process:rundll32.exe,geo:DE,asn:AS58657}",download|recon|malware|beacon,Requires further investigation,false
R00081,40.147.194.83,10.0.12.175,update-check.cn,domain,1705961697,1707495563,89,40,TrickBot,"{host:SALES-PC09,user:asmith,process:chrome.exe,geo:CN,asn:AS63011}",malware|beacon|recon|phishing,Automated detection alert,false
R00082,61.51.222.159,10.0.3.146,224d4af8f445ef5a2d8c22f0f9ea2e3d,md5,1705875660,1706132497,59,48,APT29,"{host:OPS-SRV03,user:admin,process:cmd.exe,geo:NL,asn:AS25761}",beacon|email,Confirmed malicious beacon,true
R00083,82.2.161.26,10.0.17.161,f9c4fd5e805f7275d090384419c80b46,md5,1704766690,,95,63,BlackCat,"{host:OPS-SRV03,user:jdoe,process:cmd.exe,geo:NL,asn:AS58139}",beacon|email|phishing,Possible lateral movement,false
R00084,240.166.107.85,10.0.2.140,9f8b8c1ce57df8f4413228e1b5c8824d,md5,1705236768,,66,42,Unknown,"{host:EDGE-GW01,user:admin,process:rundll32.exe,geo:RU,asn:AS28765}",scanner|loader|phishing|c2,Possible lateral movement,true
R00085,40.119.217.190,10.0.10.123,042fa2332bb754fff3e6225830fb4ed63afbe7ef2b04f9379a64f3b929d8aef1,sha256,1705815810,,58,83,TrickBot,"{host:HR-PC17,user:jdoe,process:chrome.exe,geo:KP,asn:AS35055}",lateral|phishing,Automated detection alert,true
R00086,81.36.213.23,10.0.15.3,252.225.16.87,ip,1705396140,1706132129,60,65,CobaltStrike,"{host:SALES-PC09,user:jdoe,process:powershell.exe,geo:DE,asn:AS34952}",c2|phishing|infostealer|lateral,Automated detection alert,false
R00087,198.63.195.148,10.0.14.205,http://auth-panel.ru/payload.bin,url,1704518704,1704782865,92,93,TrickBot,"{host:EDGE-GW01,user:guest,process:outlook.exe,geo:NL,asn:AS57614}",recon|download,Confirmed malicious beacon,false
R00088,99.221.195.105,10.0.9.47,http://secure-login.cn/update.bin,url,1704637476,1704874956,77,71,BlackCat,"{host:HR-PC17,user:bpatel,process:cmd.exe,geo:DE,asn:AS41215}",c2|ransomware,Requires further investigation,false
R00089,24.5.218.239,10.0.7.174,170.72.169.1,ip,1705121141,1706486282,40,82,APT29,"{host:ENG-LT02,user:asmith,process:cmd.exe,geo:KP,asn:AS56761}",recon|loader,Confirmed malicious beacon,false
R00090,237.223.89.27,10.0.11.24,http://update-check.org/stage.bin,url,1704404914,,83,51,RedLine,"{host:FIN-SRV01,user:mwong,process:chrome.exe,geo:KP,asn:AS1986}",ransomware|loader|phishing|email,Suspicious download observed,true
R00091,60.98.217.33,10.0.6.155,http://secure-login.xyz/payload.bin,url,1705378130,,87,95,APT29,"{host:SALES-PC09,user:mwong,process:chrome.exe,geo:CN,asn:AS52951}",email|malware|scanner,Possible lateral movement,true
R00092,214.207.52.44,10.0.12.174,88.190.58.25,ip,1704406935,1706002310,85,78,Emotet,"{host:ENG-LT02,user:bpatel,process:outlook.exe,geo:CN,asn:AS54758}",scanner|loader|ransomware|phishing,Requires further investigation,false
R00093,186.242.204.217,10.0.2.168,update-check.ru,domain,1704316743,,88,95,BlackCat,"{host:OPS-SRV03,user:jdoe,process:chrome.exe,geo:IR,asn:AS47256}",apt|download|lateral,Possible lateral movement,true
R00094,127.142.47.107,10.0.1.168,82.97.170.28,ip,1705637201,1707216303,87,53,QakBot,"{host:OPS-SRV03,user:guest,process:outlook.exe,geo:CN,asn:AS20454}",scanner|phishing|download,Requires further investigation,false
R00095,34.112.43.101,10.0.6.228,24.229.176.73,ip,1705143282,,91,59,Mirai,"{host:OPS-SRV03,user:asmith,process:chrome.exe,geo:NL,asn:AS16030}",apt|email|dropper|c2,Confirmed malicious beacon,true
R00096,13.185.62.56,10.0.17.118,20f616ca4b0df24e7f16b3c44951d37bf07f7bf2b89f0b93018d11cfbf1a1251,sha256,1705126867,1707038454,41,75,TrickBot,"{host:DEV-LT07,user:mwong,process:powershell.exe,geo:CN,asn:AS61021}",scanner|lateral|dropper,Requires further investigation,false
R00097,162.195.117.36,10.0.19.214,update-check.xyz,domain,1705855111,1706104043,81,72,QakBot,"{host:FIN-SRV01,user:asmith,process:rundll32.exe,geo:KP,asn:AS42307}",infostealer|c2|ransomware,Automated detection alert,true
R00098,217.21.221.72,10.0.19.42,update-check.cn,domain,1704186883,1704310427,52,57,LockBit,"{host:FIN-SRV02,user:admin,process:wscript.exe,geo:CN,asn:AS44174}",apt|recon|download|c2,Requires further investigation,false
R00099,71.59.77.63,10.0.2.136,http://data-node.ru/payload.bin,url,1706011991,1706952915,84,62,Mirai,"{host:SALES-PC09,user:mwong,process:chrome.exe,geo:RU,asn:AS47178}",download|phishing|dropper|loader,Automated detection alert,true
R00100,123.22.117.145,10.0.7.160,cfa42effb7d27d4486a3ee73e0f9e265,md5,1704446052,,71,51,RedLine,"{host:EDGE-GW01,user:admin,process:cmd.exe,geo:CN,asn:AS62251}",recon|email,Requires further investigation,true
R00101,48.79.143.253,10.0.12.242,cdn-stage.cn,domain,1704151387,1705799312,99,60,BlackCat,"{host:EDGE-GW01,user:svc_backup,process:outlook.exe,geo:CN,asn:AS54007}",apt|ransomware,Suspicious download observed,false
R00102,242.51.54.181,10.0.12.34,5355af380f48f6b8e832be4501d26ea0,md5,1704363889,1705610753,95,98,Unknown,"{host:HR-PC17,user:analyst,process:wscript.exe,geo:NL,asn:AS50619}",phishing|loader,Confirmed malicious beacon,false
R00103,27.218.164.218,10.0.11.121,8c27b9b0cdd9a63c6ef1d979e3703435,md5,1705023036,,87,95,BlackCat,"{host:OPS-SRV03,user:guest,process:rundll32.exe,geo:CN,asn:AS5694}",infostealer|recon|malware,Suspicious download observed,false
R00104,237.40.106.178,10.0.3.28,http://auth-panel.ru/payload.bin,url,1705395119,1706529185,64,49,LockBit,"{host:HR-PC17,user:admin,process:chrome.exe,geo:RU,asn:AS14107}",scanner|recon|malware|infostealer,Possible lateral movement,true
R00105,21.247.4.252,10.0.9.19,http://data-node.ru/payload.bin,url,1705776856,1707036174,40,73,TrickBot,"{host:SALES-PC09,user:jdoe,process:rundll32.exe,geo:CN,asn:AS41878}",phishing|malware|lateral,Suspicious download observed,false
